Host,Date,Time,Method,Endpoint,Protocol,Status Code,Content Size,No of Requests,Anomaly,Anomaly_Score
2415145644,2023-02-16,03:28:45,4,236,6,6,248.0,62,0,0.0
2757421940,2023-02-16,04:11:34,4,10,6,0,5952.0,5,0,14103.180917792979
1123632510,2023-02-16,04:39:52,4,400,6,7,146.0,20,0,281.70906978654415
1123632510,2023-02-16,04:39:52,4,177,6,0,491.0,20,0,462.3418648575965
3118324652,2023-02-16,05:06:47,4,40,6,7,548.0,1,0,224907.43283404398
1123632485,2023-02-16,05:24:52,4,160,6,5,0.0,3,0,376.2552325217551
883396698,2023-02-16,06:26:16,4,10,6,0,5952.0,19,0,0.0
2556019923,2023-02-16,07:00:15,4,476,6,7,548.0,84,0,150.09330431434975
1920435509,2023-02-16,07:01:52,4,400,6,7,146.0,1,0,1799.1286779994364
3323217250,2023-02-16,07:26:00,4,10,6,0,5952.0,10,0,5820.306521137869
3323217250,2023-02-16,07:26:16,0,0,0,6,0.0,10,0,150.09330431434975
3323217250,2023-02-16,07:26:20,0,0,0,6,0.0,10,0,150.09330431434975
3323217250,2023-02-16,07:26:21,0,0,0,6,0.0,10,0,150.09330431434975
3323217250,2023-02-16,07:26:24,0,0,0,6,0.0,10,0,150.09330431434975
3323217250,2023-02-16,07:26:30,4,400,6,7,146.0,10,0,424.5279731654912
3323217250,2023-02-16,07:26:32,4,417,6,7,146.0,10,0,441.0895600668871
3323217250,2023-02-16,07:26:36,4,43,6,7,146.0,10,0,150.09330431434975
3323217250,2023-02-16,07:26:40,4,177,6,0,491.0,10,0,521.9042057696029
3323217250,2023-02-16,07:26:45,0,0,0,6,150.0,10,0,150.09330431434975
2556019923,2023-02-16,07:39:40,4,52,6,0,5952.0,84,0,0.0
3115618186,2023-02-16,07:55:53,4,223,6,7,548.0,5,0,119.73303637676612
2556019923,2023-02-16,08:37:37,4,10,6,0,5952.0,84,0,0.0
860877189,2023-02-16,08:45:29,4,10,6,0,5952.0,4,0,132092.22959735367
860877189,2023-02-16,08:45:29,4,285,6,0,6398.0,4,0,132111.97868475062
860877189,2023-02-16,08:45:29,4,265,6,0,548.0,4,0,131965.6139454517
860877189,2023-02-16,08:45:29,4,130,6,0,979.0,4,0,131967.76382132116
2415145644,2023-02-16,09:33:06,4,236,6,6,248.0,62,0,0.0
2556019923,2023-02-16,09:33:10,4,95,6,7,548.0,84,0,0.0
3005976128,2023-02-16,09:44:35,4,40,6,7,548.0,1,0,9145.956046253448
1475129464,2023-02-16,10:28:01,4,10,6,0,5952.0,2,0,27.712812921102035
1475129355,2023-02-16,10:28:02,4,176,6,0,1738.0,1,0,232.4134247413432
1475129587,2023-02-16,10:28:02,4,177,6,0,491.0,1,0,215.85180101171267
2892530456,2023-02-16,10:31:39,0,0,0,6,150.0,2,0,54921.015576917365
3029695912,2023-02-16,11:17:12,4,444,6,7,548.0,2,0,5421.332677488073
3237070367,2023-02-16,11:21:15,0,0,0,6,150.0,1,0,1233.5574571133684
3118549559,2023-02-16,12:26:17,7,220,6,6,150.0,5,0,51532.30163693448
2733870362,2023-02-16,12:29:25,4,10,6,0,5952.0,1,0,5837.610470046799
1806352399,2023-02-16,12:35:58,4,336,6,7,146.0,3,0,8719.075180315858
3056309346,2023-02-16,12:45:47,4,10,6,0,5952.0,2,0,1490354.7970386113
3237074233,2023-02-16,13:15:37,4,10,6,6,248.0,1,0,1267.1353518862932
1806352399,2023-02-16,13:27:17,4,270,6,7,146.0,3,0,8716.843465383556
1806352399,2023-02-16,13:38:57,4,338,6,7,146.0,3,0,8719.163262607255
580338691,2023-02-16,13:48:43,6,10,5,8,150.0,1,1,4799787.000047398
1509467017,2023-02-16,13:49:01,0,0,0,6,150.0,2,0,426.9332500520427
1806361864,2023-02-16,13:55:07,0,0,0,6,150.0,1,0,517.9652497996367
2050150420,2023-02-16,14:07:09,4,400,6,7,548.0,282,0,230.7552816296953
2050150420,2023-02-16,14:07:09,4,10,6,0,5952.0,282,0,343.90696416327484
2050150420,2023-02-16,14:07:10,4,197,6,0,20309.0,282,0,1226.898528811572
2050150420,2023-02-16,14:07:10,4,187,6,0,92208.0,282,0,1051.627310409919
2050150420,2023-02-16,14:07:10,4,181,6,0,161409.0,282,0,8321.722898534894
2050150420,2023-02-16,14:07:10,4,191,6,0,3351.0,282,0,629.514098332992
2050150420,2023-02-16,14:07:10,4,183,6,0,63235.0,282,0,450.2799129430492
2050150420,2023-02-16,14:07:10,4,194,6,0,110438.0,282,0,4116.511144160793
2050150420,2023-02-16,14:07:10,4,179,6,0,26053.0,282,0,3567.390082399176
2050150420,2023-02-16,14:07:10,4,175,6,0,35417.0,282,0,22.627416997969522
2050150420,2023-02-16,14:07:10,4,307,6,0,956.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,190,6,0,89476.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,182,6,0,84378.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,306,6,0,106323.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,189,6,0,2532.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,193,6,0,5020.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,199,6,0,9028.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,185,6,0,2406.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,198,6,0,15022.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,188,6,0,35445.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,192,6,0,44342.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,180,6,0,14690.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,178,6,0,6330.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,307,6,0,956.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,190,6,0,89476.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,189,6,0,2532.0,282,0,0.0
2050150420,2023-02-16,14:07:10,4,182,6,0,84378.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,193,6,0,5020.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,199,6,0,9028.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,306,6,0,106323.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,279,6,0,4212.0,282,0,812.3841455863106
2050150420,2023-02-16,14:07:11,4,92,6,0,2729.0,282,0,220.54478003344354
2050150420,2023-02-16,14:07:11,4,286,6,0,6789.0,282,0,217.03455946000858
2050150420,2023-02-16,14:07:11,4,185,6,0,2406.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,198,6,0,15022.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,238,6,0,5487.0,282,0,228.5257097133712
2050150420,2023-02-16,14:07:11,4,178,6,0,6330.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,180,6,0,14690.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,188,6,0,35445.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,192,6,0,44342.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,186,6,0,537868.0,282,0,95525.05983248584
2050150420,2023-02-16,14:07:11,4,293,6,0,1588.0,282,0,39.191835884530846
2050150420,2023-02-16,14:07:11,4,292,6,0,1629.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,294,6,0,1642.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,295,6,0,1636.0,282,0,0.0
2050150420,2023-02-16,14:07:11,4,291,6,0,153088.0,282,0,8321.722898534894
2050150420,2023-02-16,14:07:11,4,184,6,0,93260.0,282,0,1051.627310409919
2050150420,2023-02-16,14:07:12,4,195,6,0,125268.0,282,0,14829.989076192875
2050150420,2023-02-16,14:07:12,4,296,6,0,442343.0,282,0,95525.05983248584
2050150420,2023-02-16,14:07:13,4,177,6,0,491.0,282,0,148.37789592793126
2050150420,2023-02-16,14:14:28,4,129,6,3,162.0,282,0,71.55417527999327
2050150420,2023-02-16,14:14:28,4,130,6,0,979.0,282,0,22.627416997969522
2050150420,2023-02-16,14:14:28,4,138,6,0,1697.0,282,0,164.730082255792
2050150420,2023-02-16,14:14:28,4,164,6,0,305.0,282,0,148.37789592793126
2050150420,2023-02-16,14:14:28,4,155,6,0,970.0,282,0,22.627416997969522
2050150420,2023-02-16,14:14:28,4,139,6,0,0.0,282,0,0.0
2050150420,2023-02-16,14:14:28,4,137,6,0,998.0,282,0,22.627416997969522
2050150420,2023-02-16,14:14:28,4,154,6,0,6615.0,282,0,217.03455946000858
2050150420,2023-02-16,14:14:28,4,164,6,0,305.0,282,0,148.37789592793126
2050150420,2023-02-16,14:14:29,4,145,6,0,267123.0,282,0,73788.99560232542
2050150420,2023-02-16,14:14:29,4,137,6,0,998.0,282,0,22.627416997969522
2050150420,2023-02-16,14:14:29,4,154,6,0,6615.0,282,0,217.03455946000858
2050150420,2023-02-16,14:14:29,4,161,6,0,44152.0,282,0,193.32873557751316
2050150420,2023-02-16,14:14:29,4,121,6,0,22493.0,282,0,2185.1572025829173
2050150420,2023-02-16,14:14:29,4,156,6,0,1150.0,282,0,151.7893276880822
2050150420,2023-02-16,14:14:29,4,158,6,0,162098.0,282,0,9010.969315229078
2050150420,2023-02-16,14:14:30,4,145,6,0,267123.0,282,0,73788.99560232542
2050150420,2023-02-16,14:14:31,4,120,6,0,646.0,282,0,164.730082255792
2050150420,2023-02-16,14:14:31,4,144,6,0,70518.0,282,0,7283.076273114267
2050150420,2023-02-16,14:14:31,4,150,6,0,193334.0,282,0,31925.008128424965
2050150420,2023-02-16,14:14:31,4,136,6,4,0.0,282,0,0.0
2050150420,2023-02-16,14:14:31,4,166,6,4,0.0,282,0,0.0
2050150420,2023-02-16,14:14:32,4,133,6,4,0.0,282,0,0.0
2050150420,2023-02-16,14:14:32,4,135,6,4,0.0,282,0,0.0
2050150420,2023-02-16,14:14:32,4,163,6,0,0.0,282,0,0.0
2050150420,2023-02-16,14:14:32,4,162,6,0,0.0,282,0,0.0
2050150420,2023-02-16,14:14:32,4,123,6,0,96.0,282,0,0.0
2050150420,2023-02-16,14:14:32,4,132,6,0,979.0,282,0,0.0
2050150420,2023-02-16,14:14:32,4,138,6,0,1697.0,282,0,164.730082255792
2050150420,2023-02-16,14:14:32,4,164,6,0,305.0,282,0,148.37789592793126
2050150420,2023-02-16,14:14:32,4,154,6,0,6615.0,282,0,217.03455946000858
2050150420,2023-02-16,14:14:32,4,137,6,0,998.0,282,0,22.627416997969522
2050150420,2023-02-16,14:14:32,4,155,6,0,970.0,282,0,22.627416997969522
2050150420,2023-02-16,14:14:32,4,139,6,0,0.0,282,0,0.0
2050150420,2023-02-16,14:14:32,4,145,6,0,267130.0,282,0,73795.99642257024
2050150420,2023-02-16,14:14:32,4,161,6,0,44152.0,282,0,193.32873557751316
2050150420,2023-02-16,14:14:32,4,121,6,0,22486.0,282,0,2178.2341471935474
2050150420,2023-02-16,14:14:32,4,156,6,0,1150.0,282,0,151.7893276880822
2050150420,2023-02-16,14:14:32,4,164,6,0,305.0,282,0,148.37789592793126
2050150420,2023-02-16,14:14:32,4,144,6,0,70556.0,282,0,7321.114669228997
2050150420,2023-02-16,14:14:32,4,154,6,0,6615.0,282,0,217.03455946000858
2050150420,2023-02-16,14:14:32,4,150,6,0,193248.0,282,0,31839.01103991768
2050150420,2023-02-16,14:14:32,4,137,6,0,998.0,282,0,22.627416997969522
2050150420,2023-02-16,14:14:32,4,145,6,0,267362.0,282,0,74028.00075647052
2050150420,2023-02-16,14:14:34,4,120,6,0,646.0,282,0,164.730082255792
2050150420,2023-02-16,14:14:34,4,156,6,0,1150.0,282,0,151.7893276880822
2050150420,2023-02-16,14:14:34,4,144,6,0,70519.0,282,0,7284.060406119653
2050150420,2023-02-16,14:14:34,4,150,6,0,193272.0,282,0,31863.01078052732
2050150420,2023-02-16,14:14:34,4,162,6,0,0.0,282,0,0.0
2050150420,2023-02-16,14:14:34,4,123,6,0,96.0,282,0,0.0
2050150420,2023-02-16,14:14:34,4,163,6,0,0.0,282,0,0.0
2050150420,2023-02-16,14:14:34,4,147,6,0,5277.0,282,0,228.5257097133712
2050150420,2023-02-16,14:14:34,4,148,6,0,11628.0,282,0,1316.0911822514427
2050150420,2023-02-16,14:14:34,4,143,6,0,6269.0,282,0,67.88225099390856
2050150420,2023-02-16,14:14:34,4,142,6,0,21535.0,282,0,1226.898528811572
2050150420,2023-02-16,14:14:34,4,331,6,0,3089.0,282,0,431.70360202342533
2050150420,2023-02-16,14:14:34,4,129,6,3,162.0,282,0,71.55417527999327
2050150420,2023-02-16,14:14:34,4,149,6,0,62808.0,282,0,426.9332500520427
2050150420,2023-02-16,14:14:34,4,160,6,0,74991.0,282,0,9386.996963885735
2050150420,2023-02-16,14:14:34,4,157,6,0,1964.0,282,0,349.81137774520715
2050150420,2023-02-16,14:14:34,4,152,6,0,8892.0,282,0,143.10835055998655
2050150420,2023-02-16,14:14:34,4,153,6,0,60840.0,282,0,2394.9814195521435
2050150420,2023-02-16,14:14:34,4,151,6,0,8800.0,282,0,231.862027939031
